robo,data,ativo,lado,resultado,resultado_pct,hora,estrategia,lote,resultado_bruto,custos
alaska-&-square,2018-07-11,WIN,VENDA,80.00,0,14:02:40,Reversao,4,80.00,0
alaska-&-square,2018-07-12,WIN,VENDA,80.00,0,14:44:40,Reversao,4,80.00,0
alaska-&-square,2018-07-16,WIN,VENDA,264.00,0,10:35:40,Reversao,16,264.00,0
alaska-&-square,2018-07-16,WIN,VENDA,80.00,0,11:14:40,Reversao,4,80.00,0
alaska-&-square,2018-07-16,WIN,VENDA,80.00,0,13:24:40,Reversao,4,80.00,0
alaska-&-square,2018-07-17,WIN,VENDA,-920.00,0,12:28:40,Reversao,16,-920.00,0
alaska-&-square,2018-07-17,WIN,VENDA,264.00,0,15:20:40,Reversao,16,264.00,0
alaska-&-square,2018-07-18,WIN,VENDA,80.00,0,10:36:20,Reversao,4,80.00,0
alaska-&-square,2018-07-19,WIN,VENDA,80.00,0,12:08:40,Reversao,4,80.00,0
alaska-&-square,2018-07-19,WIN,VENDA,-920.00,0,16:15:40,Reversao,16,-920.00,0
alaska-&-square,2018-07-20,WIN,VENDA,80.00,0,10:00:40,Reversao,4,80.00,0
alaska-&-square,2018-07-20,WIN,VENDA,264.00,0,12:17:40,Reversao,16,264.00,0
alaska-&-square,2018-07-20,WIN,VENDA,264.00,0,14:23:40,Reversao,16,264.00,0
alaska-&-square,2018-07-23,WIN,VENDA,264.00,0,11:17:40,Reversao,16,264.00,0
alaska-&-square,2018-07-24,WIN,VENDA,264.00,0,10:32:20,Reversao,16,264.00,0
alaska-&-square,2018-07-24,WIN,VENDA,80.00,0,12:05:40,Reversao,4,80.00,0
alaska-&-square,2018-07-25,WIN,VENDA,264.00,0,11:13:40,Reversao,16,264.00,0
alaska-&-square,2018-07-26,WIN,VENDA,80.00,0,10:32:40,Reversao,4,80.00,0
alaska-&-square,2018-07-26,WIN,VENDA,264.00,0,16:14:20,Reversao,16,264.00,0
alaska-&-square,2018-07-27,WIN,VENDA,264.00,0,11:15:20,Reversao,16,264.00,0
alaska-&-square,2018-07-27,WIN,VENDA,80.00,0,13:02:40,Reversao,4,80.00,0
alaska-&-square,2018-07-27,WIN,VENDA,-920.00,0,15:17:40,Reversao,16,-920.00,0
alaska-&-square,2018-07-30,WIN,VENDA,264.00,0,10:39:20,Reversao,16,264.00,0
alaska-&-square,2018-07-30,WIN,VENDA,264.00,0,13:12:40,Reversao,16,264.00,0
alaska-&-square,2018-08-01,WIN,VENDA,80.00,0,12:19:40,Reversao,4,80.00,0
alaska-&-square,2018-08-03,WIN,VENDA,80.00,0,12:13:40,Reversao,4,80.00,0
alaska-&-square,2018-08-06,WIN,VENDA,80.00,0,10:08:20,Reversao,4,80.00,0
alaska-&-square,2018-08-07,WIN,VENDA,80.00,0,11:10:40,Reversao,4,80.00,0
alaska-&-square,2018-08-08,WIN,VENDA,80.00,0,11:19:40,Reversao,4,80.00,0
alaska-&-square,2018-08-08,WIN,VENDA,80.00,0,15:39:40,Reversao,4,80.00,0
alaska-&-square,2018-08-09,WIN,VENDA,80.00,0,10:40:40,Reversao,4,80.00,0
alaska-&-square,2018-08-09,WIN,VENDA,80.00,0,12:07:20,Reversao,4,80.00,0
alaska-&-square,2018-08-10,WIN,VENDA,80.00,0,10:09:40,Reversao,4,80.00,0
alaska-&-square,2018-08-13,WIN,VENDA,80.00,0,12:49:40,Reversao,4,80.00,0
alaska-&-square,2018-08-14,WIN,VENDA,80.00,0,10:07:40,Reversao,4,80.00,0
alaska-&-square,2018-08-14,WIN,VENDA,264.00,0,14:13:40,Reversao,16,264.00,0
alaska-&-square,2018-08-15,WIN,VENDA,264.00,0,11:05:40,Reversao,16,264.00,0
alaska-&-square,2018-08-16,WIN,VENDA,264.00,0,10:40:40,Reversao,16,264.00,0
alaska-&-square,2018-08-16,WIN,VENDA,80.00,0,13:41:40,Reversao,4,80.00,0
alaska-&-square,2018-08-16,WIN,VENDA,80.00,0,15:11:40,Reversao,4,80.00,0
alaska-&-square,2018-08-17,WIN,VENDA,80.00,0,11:12:40,Reversao,4,80.00,0
alaska-&-square,2018-08-17,WIN,VENDA,80.00,0,16:41:40,Reversao,4,80.00,0
alaska-&-square,2018-08-20,WIN,VENDA,264.00,0,14:06:40,Reversao,16,264.00,0
alaska-&-square,2018-08-21,WIN,VENDA,80.00,0,11:47:40,Reversao,4,80.00,0
